Label;Area;X;Y;Perim.;BX;BY;Width;Height;Circ.;AR;Round;Solidity;Year
DH 216 A_2.jpg:0020-1350;32764.00;7226506.00;944322.00;47412.00;7224476.00;933566.00;4895.00;21678.00;0.18;11583.00;0.09;0.65;2000.00
DH 216 A_2.jpg:0021-1352;73842.00;7218934.00;946073.00;51368.00;7216084.00;934266.00;6294.00;23077.00;0.35;5976.00;0.17;0.85;2000.00
DH 216 A_2.jpg:0027-1390;975598.00;6963809.00;971937.00;126611.00;6944755.00;955245.00;37063.00;34266.00;0.77;1437.00;0.70;0.93;2000.00
DH 216 A_2.jpg:0030-1396;857255.00;7002091.00;975368.00;117131.00;6985315.00;960839.00;32867.00;30769.00;0.79;1227.00;0.82;0.95;2000.00
DH 216 A_2.jpg:0033-1401;741357.00;7035274.00;980239.00;104374.00;7020979.00;965035.00;27972.00;30070.00;0.86;1144.00;0.87;0.97;2000.00
DH 216 A_2.jpg:0034-1404;490978.00;7062435.00;982688.00;87351.00;7053147.00;966434.00;20280.00;30769.00;0.81;1626.00;0.62;0.96;2000.00
DH 216 A_2.jpg:0035-1406;585359.00;7134750.00;983929.00;93765.00;7123077.00;968531.00;23776.00;29371.00;0.84;1245.00;0.80;0.96;2000.00
DH 216 A_2.jpg:0036-1407;492934.00;7085572.00;983003.00;91956.00;7073427.00;969231.00;23077.00;29371.00;0.73;1609.00;0.62;0.94;2000.00
DH 216 A_2.jpg:0037-1408;524720.00;7107968.00;983602.00;90558.00;7097203.00;969231.00;20979.00;30769.00;0.80;1539.00;0.65;0.95;2000.00
DH 216 A_2.jpg:0038-1406;379481.00;7180671.00;984199.00;79030.00;7172727.00;969231.00;16783.00;28671.00;0.76;1795.00;0.56;0.94;2000.00
DH 216 A_2.jpg:0039-1407;330579.00;7199929.00;983794.00;76642.00;7192308.00;969231.00;14685.00;29371.00;0.71;2375.00;0.42;0.95;2000.00
DH 216 A_2.jpg:0040-1406;227884.00;7215751.00;983608.00;68490.00;7210490.00;969231.00;10490.00;28671.00;0.61;3147.00;0.32;0.93;2000.00
DH 216 A_2.jpg:0041-1409;423004.00;7159439.00;984467.00;81657.00;7150350.00;971329.00;17483.00;27972.00;0.80;1570.00;0.64;0.96;2000.00
DH 216 A_2.jpg:0042-1405;75309.00;7227423.00;982776.00;49390.00;7224476.00;971329.00;5594.00;22378.00;0.39;5727.00;0.18;0.84;2000.00
DH 216 A_2.jpg:0001-0752;438652.00;6876280.00;526929.00;88849.00;6866434.00;511888.00;20979.00;28671.00;0.70;1589.00;0.63;0.92;2000.00
DH 216 A_2.jpg:0002-0755;668003.00;6923782.00;526882.00;103005.00;6906993.00;513287.00;31469.00;29371.00;0.79;1363.00;0.73;0.95;2000.00
DH 216 A_2.jpg:0003-0756;543792.00;6952644.00;530107.00;93115.00;6940559.00;513986.00;23776.00;29371.00;0.79;1273.00;0.79;0.95;2000.00
DH 216 A_2.jpg:0004-0756;435718.00;6897810.00;528545.00;85642.00;6885315.00;515385.00;25874.00;26573.00;0.75;1872.00;0.53;0.94;2000.00
DH 216 A_2.jpg:0005-0760;572644.00;6979114.00;531176.00;93835.00;6966434.00;518182.00;25175.00;26573.00;0.82;1167.00;0.86;0.95;2000.00
DH 216 A_2.jpg:0006-0766;607854.00;7009461.00;535694.00;98949.00;6995105.00;522378.00;28671.00;26573.00;0.78;1253.00;0.80;0.93;2000.00
DH 216 A_2.jpg:0007-0767;517385.00;7038401.00;536764.00;90727.00;7025874.00;523776.00;25874.00;25175.00;0.79;1302.00;0.77;0.94;2000.00
DH 216 A_2.jpg:0008-0767;360409.00;7062376.00;536534.00;77801.00;7053147.00;524476.00;18881.00;24476.00;0.75;1426.00;0.70;0.93;2000.00
DH 216 A_2.jpg:0009-0769;322754.00;7101520.00;539322.00;73265.00;7093706.00;525175.00;15385.00;25874.00;0.76;1775.00;0.56;0.94;2000.00
DH 216 A_2.jpg:0010-0770;291946.00;7083162.00;537622.00;69070.00;7075524.00;525874.00;14685.00;25175.00;0.77;1759.00;0.57;0.94;2000.00
DH 216 A_2.jpg:0011-0774;270918.00;7119390.00;541326.00;69070.00;7113287.00;528671.00;12587.00;25175.00;0.71;1986.00;0.50;0.94;2000.00
DH 216 A_2.jpg:0012-0775;163822.00;7134613.00;542268.00;56313.00;7130070.00;530769.00;9790.00;22378.00;0.65;2593.00;0.39;0.93;2000.00
DH 216 A_2.jpg:0013-0775;128124.00;7146896.00;542377.00;51297.00;7142657.00;531469.00;9091.00;20979.00;0.61;2976.00;0.34;0.92;2000.00
DH 216 A_2.jpg:0014-0775;55748.00;7156600.00;543418.00;42806.00;7153846.00;532867.00;6294.00;18182.00;0.38;4616.00;0.22;0.74;2000.00
DH 216 A_2.jpg:0001-0224;594161.00;7066641.00;158043.00;97311.00;7051748.00;143357.00;27972.00;27273.00;0.79;1060.00;0.94;0.94;2000.00
DH 216 A_2.jpg:0002-0224;528632.00;7038919.00;156921.00;90798.00;7027972.00;144056.00;23776.00;25874.00;0.81;1113.00;0.90;0.96;2000.00
DH 216 A_2.jpg:0003-0227;494890.00;7095119.00;158570.00;85373.00;7083916.00;145455.00;23077.00;26573.00;0.85;1149.00;0.87;0.95;2000.00
DH 216 A_2.jpg:0004-0227;500269.00;7012339.00;158601.00;84554.00;7000000.00;146154.00;23776.00;25874.00;0.88;1105.00;0.91;0.96;2000.00
DH 216 A_2.jpg:0005-0230;449411.00;6988316.00;161615.00;83974.00;6978322.00;147552.00;21678.00;27273.00;0.80;1233.00;0.81;0.94;2000.00
DH 216 A_2.jpg:0006-0231;423493.00;7121190.00;161206.00;79030.00;7111888.00;148252.00;18881.00;26573.00;0.85;1401.00;0.71;0.96;2000.00
DH 216 A_2.jpg:0007-0230;594650.00;6930477.00;161457.00;97720.00;6914685.00;148951.00;31469.00;24476.00;0.78;1271.00;0.79;0.94;2000.00
DH 216 A_2.jpg:0008-0231;359431.00;7143478.00;162108.00;74354.00;7134266.00;149650.00;19580.00;24476.00;0.82;1511.00;0.66;0.95;2000.00
DH 216 A_2.jpg:0009-0231;128613.00;7181490.00;161285.00;57711.00;7176923.00;149650.00;9091.00;23776.00;0.49;4092.00;0.24;0.89;2000.00
DH 216 A_2.jpg:0010-0233;535968.00;6961180.00;163593.00;101167.00;6947552.00;151049.00;27972.00;23776.00;0.66;1178.00;0.85;0.94;2000.00
DH 216 A_2.jpg:0011-0233;251357.00;7165971.00;162745.00;66852.00;7158741.00;151748.00;14685.00;22378.00;0.71;1547.00;0.65;0.92;2000.00
DH 216 A_2.jpg:0012-0236;84112.00;7191751.00;165275.00;46113.00;7187413.00;155245.00;8392.00;19580.00;0.50;3897.00;0.26;0.86;2000.00
DH 216 A_2.jpg:0013-0240;33253.00;7200668.00;167421.00;30389.00;7197902.00;161538.00;6294.00;12587.00;0.45;4138.00;0.24;0.77;2000.00
DH 216 A_2.jpg:0014-0265;593672.00;7029935.00;185514.00;101097.00;7011888.00;175524.00;35664.00;20280.00;0.73;1869.00;0.54;0.93;2000.00
DH 216 A_2.jpg:0015-0268;666047.00;7070230.00;187691.00;103555.00;7052448.00;176224.00;34965.00;23077.00;0.78;1646.00;0.61;0.94;2000.00
DH 216 A_2.jpg:0016-0268;494401.00;7105689.00;187930.00;84963.00;7092308.00;176923.00;27273.00;21678.00;0.86;1279.00;0.78;0.96;2000.00
DH 216 A_2.jpg:0017-0269;354052.00;6919891.00;189031.00;71627.00;6909091.00;177622.00;20280.00;21678.00;0.87;1114.00;0.90;0.96;2000.00
DH 216 A_2.jpg:0018-0269;342315.00;6941726.00;188073.00;68490.00;6932168.00;178322.00;19580.00;19580.00;0.92;1016.00;0.98;0.97;2000.00
DH 216 A_2.jpg:0019-0269;463103.00;6996229.00;188927.00;87760.00;6982517.00;178322.00;27972.00;20280.00;0.76;1389.00;0.72;0.95;2000.00
DH 216 A_2.jpg:0020-0270;433762.00;6967769.00;188958.00;81827.00;6954545.00;179021.00;25874.00;19580.00;0.81;1379.00;0.73;0.95;2000.00
DH 216 A_2.jpg:0021-0272;302215.00;7133039.00;190787.00;66272.00;7125175.00;179021.00;15385.00;23077.00;0.87;1420.00;0.70;0.96;2000.00
DH 216 A_2.jpg:0022-0274;184361.00;7150966.00;191251.00;58530.00;7146154.00;180420.00;10490.00;22378.00;0.68;2381.00;0.42;0.92;2000.00
DH 216 A_2.jpg:0023-0276;126657.00;7164629.00;193151.00;46762.00;7160839.00;183217.00;7692.00;19580.00;0.73;2463.00;0.41;0.95;2000.00
DH 216 A_2.jpg:0024-0274;94381.00;7177084.00;191440.00;41578.00;7173427.00;183217.00;6993.00;16783.00;0.69;2423.00;0.41;0.93;2000.00
DH 216 A_2.jpg:0025-0278;55259.00;7188202.00;194656.00;36802.00;7185315.00;186713.00;5594.00;16084.00;0.51;3525.00;0.28;0.86;2000.00
DH 216 A_2.jpg:0001-1824;712504.00;7016471.00;1275525.00;102905.00;7004196.00;1259441.00;26573.00;32867.00;0.85;1204.00;0.83;0.97;2000.00
DH 216 A_2.jpg:0003-1823;558952.00;6990630.00;1275314.00;90049.00;6979720.00;1260839.00;21678.00;28671.00;0.87;1260.00;0.79;0.97;2000.00
DH 216 A_2.jpg:0005-1827;746247.00;7047993.00;1277577.00;106522.00;7032867.00;1262937.00;30070.00;29371.00;0.83;1146.00;0.87;0.95;2000.00
DH 216 A_2.jpg:0006-1828;596606.00;7078683.00;1278950.00;92676.00;7067133.00;1265035.00;23077.00;27273.00;0.87;1179.00;0.85;0.98;2000.00
DH 216 A_2.jpg:0007-1831;568243.00;7106537.00;1280773.00;92027.00;7095105.00;1267133.00;23776.00;26573.00;0.84;1120.00;0.89;0.97;2000.00
DH 216 A_2.jpg:0008-1833;340359.00;7132636.00;1282726.00;73845.00;7123776.00;1270629.00;17483.00;23077.00;0.78;1280.00;0.78;0.95;2000.00
DH 216 A_2.jpg:0009-1835;419091.00;7197502.00;1283532.00;78790.00;7187413.00;1270629.00;20280.00;25874.00;0.85;1382.00;0.72;0.95;2000.00
DH 216 A_2.jpg:0010-1835;296836.00;7153117.00;1283016.00;68999.00;7145455.00;1271329.00;15385.00;23776.00;0.78;1556.00;0.64;0.94;2000.00
DH 216 A_2.jpg:0011-1835;343782.00;7174102.00;1282959.00;71048.00;7165734.00;1271329.00;16783.00;24476.00;0.86;1480.00;0.68;0.96;2000.00
DH 216 A_2.jpg:0012-1837;287056.00;7221180.00;1284791.00;67021.00;7213287.00;1272727.00;15385.00;23776.00;0.80;1709.00;0.59;0.94;2000.00
DH 216 A_2.jpg:0013-1839;199032.00;7239698.00;1285537.00;57541.00;7234266.00;1274825.00;10490.00;22378.00;0.76;2180.00;0.46;0.95;2000.00
DH 216 A_2.jpg:0014-1840;120299.00;7254449.00;1287342.00;47582.00;7251049.00;1276923.00;6993.00;20280.00;0.67;2876.00;0.35;0.95;2000.00
DH 216 A_2.jpg:0015-1838;44990.00;7264951.00;1285307.00;36463.00;7262937.00;1276923.00;3497.00;16783.00;0.43;5254.00;0.19;0.89;2000.00
DH 216 A_2.jpg:0016-1864;372634.00;6994964.00;1303876.00;76232.00;6983217.00;1294406.00;24476.00;18881.00;0.81;1386.00;0.72;0.93;2000.00
DH 216 A_2.jpg:0017-1866;529121.00;7025953.00;1305762.00;91716.00;7009790.00;1294406.00;30769.00;21678.00;0.79;1445.00;0.69;0.95;2000.00
DH 216 A_2.jpg:0018-1868;399042.00;7053783.00;1306589.00;76063.00;7043357.00;1295804.00;20979.00;20979.00;0.87;1033.00;0.97;0.97;2000.00
DH 216 A_2.jpg:0020-1871;365788.00;7078398.00;1308119.00;75823.00;7067832.00;1298601.00;23077.00;19580.00;0.80;1192.00;0.84;0.95;2000.00
DH 216 A_2.jpg:0021-1876;558463.00;7108218.00;1311553.00;91956.00;7094406.00;1299301.00;26573.00;25175.00;0.83;1105.00;0.91;0.96;2000.00
DH 216 A_2.jpg:0022-1878;490978.00;7163959.00;1313562.00;87860.00;7153147.00;1299301.00;21678.00;28671.00;0.80;1273.00;0.79;0.95;2000.00
DH 216 A_2.jpg:0023-1877;520319.00;7137131.00;1312587.00;88820.00;7125175.00;1300000.00;23077.00;25874.00;0.83;1099.00;0.91;0.95;2000.00
DH 216 A_2.jpg:0024-1880;427894.00;7189504.00;1314144.00;82166.00;7179720.00;1300000.00;18881.00;29371.00;0.80;1591.00;0.63;0.94;2000.00
DH 216 A_2.jpg:0025-1880;359431.00;7211665.00;1314720.00;74664.00;7204196.00;1300699.00;14685.00;27972.00;0.81;1878.00;0.53;0.97;2000.00
DH 216 A_2.jpg:0026-1882;306616.00;7231533.00;1316351.00;71457.00;7225175.00;1302797.00;13986.00;26573.00;0.76;1886.00;0.53;0.95;2000.00
DH 216 A_2.jpg:0027-1883;142305.00;7248695.00;1316796.00;54165.00;7244755.00;1305594.00;8392.00;22378.00;0.61;3095.00;0.32;0.93;2000.00
DH 216 A_2.jpg:0028-1883;118832.00;7261439.00;1316782.00;51368.00;7258042.00;1305594.00;6993.00;22378.00;0.57;3677.00;0.27;0.92;2000.00
DH 216 A_2.jpg:0029-1882;31297.00;7271066.00;1315931.00;35884.00;7269930.00;1307692.00;2797.00;16783.00;0.31;7012.00;0.14;0.81;2000.00
DH 216 A_2.jpg:0001-1351;656756.00;7242377.00;944827.00;103555.00;7231469.00;927273.00;22378.00;35664.00;0.77;1727.00;0.58;0.96;2001.00
DH 216 A_2.jpg:0002-1354;528143.00;7266814.00;946814.00;91207.00;7256643.00;932168.00;20979.00;29371.00;0.80;1532.00;0.65;0.96;2001.00
DH 216 A_2.jpg:0003-1356;644041.00;7293701.00;949219.00;100108.00;7281818.00;932867.00;24476.00;31469.00;0.81;1314.00;0.76;0.95;2001.00
DH 216 A_2.jpg:0004-1357;551127.00;7321350.00;949391.00;101846.00;7309790.00;933566.00;23077.00;30769.00;0.67;1456.00;0.69;0.92;2001.00
DH 216 A_2.jpg:0005-1361;268473.00;7343934.00;952498.00;74254.00;7337762.00;937762.00;12587.00;27972.00;0.61;2492.00;0.40;0.93;2001.00
DH 216 A_2.jpg:0006-1362;146706.00;7358026.00;952382.00;59519.00;7353846.00;939860.00;8392.00;25175.00;0.52;3701.00;0.27;0.90;2001.00
DH 216 A_2.jpg:0007-1405;542325.00;7248623.00;982404.00;95263.00;7237762.00;966434.00;22378.00;32168.00;0.75;1636.00;0.61;0.94;2001.00
DH 216 A_2.jpg:0008-1406;620079.00;7273043.00;982610.00;97141.00;7260839.00;967832.00;24476.00;30769.00;0.83;1331.00;0.75;0.96;2001.00
DH 216 A_2.jpg:0009-1409;500758.00;7299415.00;984707.00;88170.00;7288811.00;970629.00;20280.00;29371.00;0.81;1415.00;0.71;0.95;2001.00
DH 216 A_2.jpg:0010-1411;431806.00;7323331.00;986509.00;81657.00;7315385.00;972028.00;16084.00;29371.00;0.81;1784.00;0.56;0.98;2001.00
DH 216 A_2.jpg:0011-1412;189740.00;7341489.00;987568.00;64365.00;7337762.00;973427.00;7692.00;27972.00;0.58;3582.00;0.28;0.96;2001.00
DH 216 A_2.jpg:0012-1412;156487.00;7353416.00;987753.00;59180.00;7349650.00;974825.00;7692.00;25175.00;0.56;3689.00;0.27;0.93;2001.00
DH 216 A_2.jpg:0013-1411;119810.00;7365002.00;986686.00;53755.00;7361538.00;974825.00;6993.00;23776.00;0.52;4124.00;0.24;0.90;2001.00
DH 216 A_2.jpg:0001-1105;402465.00;7208126.00;773684.00;82406.00;7198601.00;759441.00;19580.00;27273.00;0.75;1781.00;0.56;0.94;2001.00
DH 216 A_2.jpg:0002-1107;413223.00;7228599.00;773962.00;82745.00;7218881.00;759441.00;18881.00;29371.00;0.76;1728.00;0.58;0.95;2001.00
DH 216 A_2.jpg:0003-1110;465548.00;7252856.00;777174.00;86701.00;7241958.00;762238.00;23776.00;27972.00;0.78;1619.00;0.62;0.95;2001.00
DH 216 A_2.jpg:0004-1111;494890.00;7278561.00;777586.00;89258.00;7265734.00;763636.00;25874.00;27273.00;0.78;1697.00;0.59;0.95;2001.00
DH 216 A_2.jpg:0005-1114;304660.00;7302993.00;779666.00;76332.00;7293706.00;766434.00;18881.00;25175.00;0.66;1881.00;0.53;0.92;2001.00
DH 216 A_2.jpg:0006-1113;206367.00;7320245.00;778227.00;62656.00;7313287.00;766434.00;12587.00;24476.00;0.66;2412.00;0.42;0.92;2001.00
DH 216 A_2.jpg:0007-1115;55748.00;7333425.00;780591.00;42227.00;7331469.00;770629.00;4895.00;18881.00;0.39;5498.00;0.18;0.85;2001.00
DH 216 A_2.jpg:0008-1153;658223.00;7213624.00;806311.00;104713.00;7198601.00;792308.00;29371.00;28671.00;0.75;1198.00;0.84;0.92;2001.00
DH 216 A_2.jpg:0009-1156;605898.00;7245261.00;809012.00;100617.00;7231469.00;793706.00;27972.00;29371.00;0.75;1368.00;0.73;0.93;2001.00
DH 216 A_2.jpg:0010-1160;445988.00;7271589.00;811411.00;84554.00;7261538.00;796503.00;19580.00;30070.00;0.78;1811.00;0.55;0.95;2001.00
DH 216 A_2.jpg:0011-1164;422515.00;7291639.00;813568.00;85034.00;7283217.00;798601.00;16783.00;31469.00;0.73;2142.00;0.47;0.96;2001.00
DH 216 A_2.jpg:0012-1166;397574.00;7312418.00;814962.00;81078.00;7304196.00;800699.00;16084.00;29371.00;0.76;1884.00;0.53;0.95;2001.00
DH 216 A_2.jpg:0013-1167;183872.00;7331894.00;816538.00;57711.00;7326573.00;805594.00;11189.00;20979.00;0.69;1946.00;0.51;0.91;2001.00
DH 216 A_2.jpg:0001-1505;591716.00;7261180.00;1052392.00;97720.00;7248252.00;1038462.00;25175.00;28671.00;0.78;1187.00;0.84;0.94;2001.00
DH 216 A_2.jpg:0003-1509;450389.00;7287131.00;1055790.00;85034.00;7277622.00;1041958.00;19580.00;27273.00;0.78;1412.00;0.71;0.94;2001.00
DH 216 A_2.jpg:0004-1513;314930.00;7309865.00;1058346.00;70059.00;7302098.00;1046853.00;16084.00;23077.00;0.81;1459.00;0.69;0.95;2001.00
DH 216 A_2.jpg:0005-1517;326666.00;7331951.00;1061705.00;71627.00;7323776.00;1049650.00;16783.00;23077.00;0.80;1351.00;0.74;0.95;2001.00
DH 216 A_2.jpg:0006-1518;148663.00;7349581.00;1061679.00;52526.00;7344755.00;1051748.00;9790.00;20280.00;0.68;2458.00;0.41;0.92;2001.00
DH 216 A_2.jpg:0007-1522;110519.00;7363308.00;1064268.00;43216.00;7359441.00;1055944.00;7692.00;16783.00;0.74;2266.00;0.44;0.95;2001.00
DH 216 A_2.jpg:0008-1523;126168.00;7376774.00;1065246.00;47172.00;7372727.00;1055944.00;8392.00;18881.00;0.71;2542.00;0.39;0.93;2001.00
DH 216 A_2.jpg:0009-1551;431317.00;7271032.00;1084444.00;81007.00;7260140.00;1072028.00;20979.00;25175.00;0.83;1409.00;0.71;0.95;2001.00
DH 216 A_2.jpg:0010-1555;366277.00;7295292.00;1086980.00;75893.00;7285315.00;1076224.00;19580.00;22378.00;0.80;1254.00;0.80;0.94;2001.00
DH 216 A_2.jpg:0011-1560;467016.00;7320887.00;1090774.00;85783.00;7310490.00;1076923.00;20280.00;27972.00;0.80;1467.00;0.68;0.95;2001.00
DH 216 A_2.jpg:0012-1561;201477.00;7340632.00;1092447.00;64704.00;7334965.00;1079720.00;11189.00;24476.00;0.61;2717.00;0.37;0.92;2001.00
DH 216 A_2.jpg:0013-1563;261626.00;7356641.00;1093900.00;68321.00;7349650.00;1081119.00;13986.00;24476.00;0.70;2105.00;0.48;0.93;2001.00
DH 216 A_2.jpg:0014-1565;164311.00;7372203.00;1094576.00;55564.00;7367832.00;1083217.00;9091.00;22378.00;0.67;2667.00;0.38;0.94;2001.00
DH 216 A_2.jpg:0015-1567;76287.00;7385270.00;1095822.00;41408.00;7382517.00;1086713.00;5594.00;18182.00;0.56;3727.00;0.27;0.91;2001.00
DH 216 A_2.jpg:0001-0913;916915.00;7193341.00;638577.00;118629.00;7174825.00;623077.00;35664.00;31469.00;0.82;1223.00;0.82;0.95;2001.00
DH 216 A_2.jpg:0002-0915;903712.00;7232483.00;640849.00;121596.00;7214685.00;624476.00;37063.00;31469.00;0.77;1433.00;0.70;0.95;2001.00
DH 216 A_2.jpg:0003-0921;353563.00;7264125.00;644079.00;78210.00;7255245.00;630769.00;17483.00;26573.00;0.73;1815.00;0.55;0.94;2001.00
DH 216 A_2.jpg:0004-0924;310040.00;7284575.00;646779.00;73675.00;7276923.00;634266.00;16084.00;24476.00;0.72;1771.00;0.57;0.94;2001.00
DH 216 A_2.jpg:0005-0925;163333.00;7301196.00;648327.00;56482.00;7295804.00;636364.00;11888.00;21678.00;0.64;2525.00;0.40;0.92;2001.00
DH 216 A_2.jpg:0006-0923;33253.00;7311847.00;646082.00;31038.00;7309790.00;639161.00;4895.00;13287.00;0.43;4391.00;0.23;0.81;2001.00
DH 216 A_2.jpg:0007-0963;432295.00;7221238.00;673068.00;88100.00;7211189.00;659441.00;21678.00;27972.00;0.70;1414.00;0.71;0.91;2001.00
DH 216 A_2.jpg:0008-0962;469950.00;7195513.00;672569.00;91886.00;7181818.00;661538.00;26573.00;23077.00;0.70;1372.00;0.73;0.92;2001.00
DH 216 A_2.jpg:0010-0965;338892.00;7244131.00;674509.00;72036.00;7234266.00;663636.00;18881.00;22378.00;0.82;1346.00;0.74;0.94;2001.00
DH 216 A_2.jpg:0011-0966;360898.00;7266028.00;676358.00;76642.00;7257343.00;664336.00;18182.00;23077.00;0.77;1404.00;0.71;0.96;2001.00
DH 216 A_2.jpg:0012-0968;214191.00;7285618.00;677271.00;61497.00;7279720.00;665734.00;11888.00;22378.00;0.71;2011.00;0.50;0.94;2001.00
DH 216 A_2.jpg:0013-0970;195609.00;7302105.00;678731.00;56892.00;7296503.00;667832.00;11888.00;20979.00;0.76;1937.00;0.52;0.94;2001.00
DH 216 A_2.jpg:0014-0967;47924.00;7314164.00;676852.00;39020.00;7311888.00;667832.00;4895.00;17483.00;0.40;5544.00;0.18;0.81;2001.00
DH 216 A_2.jpg:0001-0731;389261.00;7161864.00;511913.00;77631.00;7153846.00;497902.00;17483.00;27273.00;0.81;1624.00;0.62;0.96;2001.00
DH 216 A_2.jpg:0002-0732;569710.00;7238970.00;512212.00;94683.00;7225874.00;497902.00;26573.00;27972.00;0.80;1341.00;0.75;0.95;2001.00
DH 216 A_2.jpg:0003-0732;379970.00;7264908.00;511721.00;79199.00;7255944.00;497902.00;16783.00;27972.00;0.76;1814.00;0.55;0.95;2001.00
DH 216 A_2.jpg:0004-0730;607365.00;7207782.00;510649.00;97141.00;7192308.00;498601.00;30070.00;24476.00;0.81;1358.00;0.74;0.96;2001.00
DH 216 A_2.jpg:0005-0732;346716.00;7182586.00;513330.00;77391.00;7173427.00;499301.00;19580.00;25874.00;0.73;1761.00;0.57;0.93;2001.00
DH 216 A_2.jpg:0006-0733;268962.00;7285032.00;512866.00;68900.00;7278322.00;500000.00;12587.00;25874.00;0.71;2213.00;0.45;0.92;2001.00
DH 216 A_2.jpg:0007-0774;579490.00;7215237.00;540996.00;93765.00;7202098.00;527972.00;25874.00;26573.00;0.83;1119.00;0.89;0.95;2001.00
DH 216 A_2.jpg:0008-0775;415668.00;7170219.00;541611.00;81756.00;7159441.00;528671.00;21678.00;26573.00;0.78;1442.00;0.69;0.93;2001.00
DH 216 A_2.jpg:0009-0773;359920.00;7191114.00;541259.00;75003.00;7181818.00;528671.00;18881.00;24476.00;0.80;1530.00;0.65;0.95;2001.00
DH 216 A_2.jpg:0010-0776;256736.00;7253944.00;543232.00;64125.00;7247552.00;531469.00;12587.00;23077.00;0.79;1817.00;0.55;0.96;2001.00
DH 216 A_2.jpg:0011-0780;265050.00;7237708.00;545817.00;67092.00;7232168.00;532168.00;11888.00;26573.00;0.74;2195.00;0.46;0.95;2001.00
DH 216 A_2.jpg:0013-0781;256736.00;7270987.00;545828.00;66922.00;7264336.00;534266.00;12587.00;23776.00;0.72;1937.00;0.52;0.95;2001.00
DH 216 A_2.jpg:0014-0779;44990.00;7295424.00;545059.00;41238.00;7293706.00;535664.00;4196.00;18881.00;0.33;6426.00;0.16;0.81;2001.00
DH 216 A_2.jpg:0015-0783;167245.00;7285793.00;548102.00;54165.00;7281119.00;537063.00;9790.00;20979.00;0.72;2328.00;0.43;0.95;2001.00
DH 216 A_2.jpg:0001-2102;590249.00;7453716.00;1470069.00;95093.00;7440559.00;1456643.00;27972.00;26573.00;0.82;1127.00;0.89;0.94;2002.00
DH 216 A_2.jpg:0002-2101;491467.00;7482178.00;1469290.00;88679.00;7468531.00;1456643.00;26573.00;25175.00;0.79;1448.00;0.69;0.94;2002.00
DH 216 A_2.jpg:0003-2102;397574.00;7509575.00;1469972.00;77970.00;7498601.00;1458741.00;22378.00;23077.00;0.82;1277.00;0.78;0.93;2002.00
DH 216 A_2.jpg:0004-2100;207345.00;7550858.00;1468383.00;58870.00;7543357.00;1458741.00;14685.00;19580.00;0.75;1709.00;0.59;0.92;2002.00
DH 216 A_2.jpg:0005-2100;251357.00;7531248.00;1468708.00;61427.00;7522378.00;1459441.00;18182.00;18182.00;0.84;1176.00;0.85;0.94;2002.00
DH 216 A_2.jpg:0006-2103;154531.00;7566881.00;1470864.00;49729.00;7560839.00;1462238.00;11888.00;16783.00;0.79;1617.00;0.62;0.93;2002.00
DH 216 A_2.jpg:0008-2104;93892.00;7580332.00;1471132.00;39190.00;7576224.00;1463636.00;7692.00;15385.00;0.77;2196.00;0.46;0.94;2002.00
DH 216 A_2.jpg:0009-2135;396107.00;7478569.00;1492800.00;78889.00;7465035.00;1482517.00;27273.00;20979.00;0.80;1592.00;0.63;0.93;2002.00
DH 216 A_2.jpg:0010-2136;339870.00;7451875.00;1493807.00;77730.00;7439860.00;1483916.00;23077.00;19580.00;0.71;1133.00;0.88;0.90;2002.00
DH 216 A_2.jpg:0011-2135;370189.00;7507705.00;1493075.00;78959.00;7495105.00;1483916.00;25874.00;18881.00;0.75;1568.00;0.64;0.92;2002.00
DH 216 A_2.jpg:0012-2135;401487.00;7540595.00;1492711.00;80937.00;7526573.00;1483916.00;27972.00;18182.00;0.77;1637.00;0.61;0.93;2002.00
DH 216 A_2.jpg:0013-2135;189251.00;7566326.00;1493798.00;52936.00;7559441.00;1485315.00;14685.00;16084.00;0.85;1191.00;0.84;0.94;2002.00
DH 216 A_2.jpg:0015-2137;80200.00;7581166.00;1494887.00;35813.00;7577622.00;1488112.00;7692.00;13287.00;0.79;2000.00;0.50;0.92;2002.00
DH 216 A_2.jpg:0016-2163;342315.00;7468921.00;1513975.00;76332.00;7457343.00;1502797.00;23776.00;20280.00;0.74;1551.00;0.65;0.93;2002.00
DH 216 A_2.jpg:0017-2165;399531.00;7495648.00;1515264.00;78719.00;7482517.00;1504196.00;26573.00;20280.00;0.81;1419.00;0.71;0.94;2002.00
DH 216 A_2.jpg:0018-2165;329600.00;7523019.00;1514266.00;73534.00;7510490.00;1504895.00;25175.00;18182.00;0.77;1660.00;0.60;0.92;2002.00
DH 216 A_2.jpg:0019-2166;252335.00;7447397.00;1514715.00;61088.00;7438462.00;1506294.00;17483.00;17483.00;0.85;1208.00;0.83;0.95;2002.00
DH 216 A_2.jpg:0020-2167;256736.00;7550489.00;1515930.00;62486.00;7539860.00;1507692.00;20280.00;16084.00;0.83;1346.00;0.74;0.94;2002.00
DH 216 A_2.jpg:0022-2167;179960.00;7570384.00;1515976.00;50139.00;7562937.00;1508392.00;14685.00;14685.00;0.90;1115.00;0.90;0.95;2002.00
DH 216 A_2.jpg:0023-2169;44990.00;7584615.00;1516950.00;26843.00;7581818.00;1511888.00;5594.00;10490.00;0.79;1981.00;0.51;0.90;2002.00
